epoch,step,train_loss,val_loss,val_reg_loss
24,219,1.0589454174041748,,
24,224,0.6850591897964478,,
24,224,,1.314536690711975,0.7007911801338196
25,229,1.158732295036316,,
25,233,,1.3016314506530762,0.7017397880554199
26,234,1.1243596076965332,,
26,239,1.1331461668014526,,
26,242,,1.3004562854766846,0.7055673599243164
27,244,1.0373876094818115,,
27,249,1.1083691120147705,,
27,251,,1.276132583618164,0.703016996383667
28,254,1.0317646265029907,,
28,259,1.0705763101577759,,
28,260,,1.2811568975448608,0.707768440246582
29,264,0.9562785625457764,,
29,269,0.6348602771759033,,
29,269,,1.306019902229309,0.7045528292655945
30,274,1.0148330926895142,,
30,278,,1.271311640739441,0.70475172996521
31,279,1.0196411609649658,,
31,284,1.0750041007995605,,
31,287,,1.2663803100585938,0.7021045088768005
32,289,1.0279057025909424,,
32,294,1.0688406229019165,,
32,296,,1.2819788455963135,0.7018389701843262
33,299,0.9477763772010803,,
33,304,1.0047807693481445,,
33,305,,1.2877813577651978,0.7052145600318909
34,309,0.8709213733673096,,
34,314,0.5936683416366577,,
34,314,,1.2704917192459106,0.7059169411659241
35,319,0.9224973917007446,,
35,323,,1.2784494161605835,0.7035049200057983
36,324,0.928924024105072,,
36,329,1.0070377588272095,,
36,332,,1.2449469566345215,0.7052932381629944
37,334,0.9147598743438721,,
37,339,1.005295991897583,,
37,341,,1.2541123628616333,0.7054111361503601
38,344,0.9122477173805237,,
38,349,0.8691244125366211,,
38,350,,1.2256845235824585,0.7050518989562988
39,354,0.823991596698761,,
39,359,0.5682803392410278,,
39,359,,1.2266417741775513,0.7042186856269836
40,364,0.8720695972442627,,
40,368,,1.225278377532959,0.7018035650253296
41,369,0.910731315612793,,
41,374,0.9692407846450806,,
41,377,,1.2185808420181274,0.7058364152908325
42,379,0.8705998659133911,,
42,384,0.979887068271637,,
42,386,,1.2838948965072632,0.7054924964904785
43,389,0.8682698607444763,,
43,394,1.0148863792419434,,
43,395,,1.2574560642242432,0.708493173122406
44,399,0.8365446329116821,,
44,404,0.6160424947738647,,
44,404,,1.2360185384750366,0.704401969909668
45,409,0.9416998028755188,,
45,413,,1.2716277837753296,0.7076618075370789
46,414,0.9353377819061279,,
46,419,0.9430986046791077,,
46,422,,1.2110207080841064,0.7059577703475952
47,424,0.8433838486671448,,
47,429,0.9351060390472412,,
47,431,,1.2314382791519165,0.7056601047515869
48,434,0.8669493794441223,,
48,439,0.8357356190681458,,
48,440,,1.2137612104415894,0.7032544016838074
49,444,0.8162121772766113,,
49,449,0.564680814743042,,
49,449,,1.2077264785766602,0.7065984010696411
50,454,0.8671224117279053,,
50,458,,1.2862557172775269,0.7044498920440674
51,459,0.8191627264022827,,
51,464,0.9128752946853638,,
51,467,,1.2001193761825562,0.7064380049705505
52,469,0.9391383528709412,,
52,474,0.890566349029541,,
52,476,,1.2412810325622559,0.7037761211395264
53,479,0.8046541810035706,,
53,484,0.8172299861907959,,
53,485,,1.2338707447052002,0.7037635445594788
54,489,0.7606818675994873,,
54,494,0.5642856955528259,,
54,494,,1.246882677078247,0.7050777077674866
55,499,0.7962353229522705,,
55,503,,1.2124346494674683,0.7037464380264282
56,504,0.7476091980934143,,
56,509,0.8769984841346741,,
56,512,,1.2267075777053833,0.7071337699890137
57,514,0.7845504283905029,,
57,519,0.8665130138397217,,
57,521,,1.215010166168213,0.7087737917900085
58,524,0.8101023435592651,,
58,529,0.7849442362785339,,
58,530,,1.32061767578125,0.7058520913124084
59,534,0.7785487174987793,,
59,539,0.5572865009307861,,
59,539,,1.2122198343276978,0.7057785391807556
60,544,0.7628476023674011,,
60,548,,1.2139021158218384,0.7011006474494934
61,549,0.7556198835372925,,
61,554,0.8800623416900635,,
61,557,,1.2743319272994995,0.7092243432998657
62,559,0.7848142981529236,,
62,564,0.824493408203125,,
62,566,,1.235535740852356,0.7057270407676697
63,569,0.7906906008720398,,
63,574,0.7711667418479919,,
63,575,,1.2731260061264038,0.7066760063171387
64,579,0.6802466511726379,,
64,584,0.5523319840431213,,
64,584,,1.280165433883667,0.704292893409729
65,589,0.7794519066810608,,
65,593,,1.2890323400497437,0.7081479430198669
66,594,0.7204532027244568,,
66,599,0.8631954193115234,,
66,602,,1.2495471239089966,0.7046314477920532
67,604,0.778681755065918,,
67,609,0.8097094297409058,,
67,611,,1.2755084037780762,0.7048931121826172
68,614,0.7868947386741638,,
68,619,0.7343001365661621,,
68,620,,1.298132061958313,0.7050559520721436
69,624,0.6987888813018799,,
69,629,0.5522797703742981,,
69,629,,1.2548866271972656,0.7032738924026489
70,634,0.7634288668632507,,
70,638,,1.2729096412658691,0.7059226036071777
71,639,0.7295576333999634,,
71,644,0.8378016352653503,,
71,647,,1.2801762819290161,0.7068880200386047
72,649,0.7328523993492126,,
72,654,0.7758882641792297,,
72,656,,1.2690074443817139,0.707794725894928
73,659,0.7765832543373108,,
73,664,0.7114178538322449,,
73,665,,1.2379049062728882,0.7079540491104126
74,669,0.6725165247917175,,
74,674,0.5508754849433899,,
74,674,,1.2250984907150269,0.7076328992843628
75,679,0.7006780505180359,,
75,683,,1.2562693357467651,0.7076167464256287
76,684,0.6808350682258606,,
76,689,0.8277453184127808,,
76,692,,1.243777871131897,0.7067497968673706
